generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,win_rate,league_size
1,512,self,0.4006844162940979,0.1573302447795868,-138.71600341796875,,1
2,1024,self,0.3413848876953125,0.13474488258361816,-138.15760803222656,,1
3,1536,self,0.22296279668807983,0.087016262114048,-138.38742065429688,,1
4,2048,league,0.21269503235816956,0.07379335165023804,-138.59373474121094,,1
5,2560,league,0.2744138538837433,0.10149644315242767,-138.82290649414062,,1
6,3072,self,0.1967221200466156,0.07752111554145813,-139.0088653564453,,1
7,3584,self,0.2639610767364502,0.09035807847976685,-139.09170532226562,,1
8,4096,self,0.26568350195884705,0.07537653297185898,-139.05238342285156,,1
9,4608,self,0.23584946990013123,0.09281191974878311,-139.0698699951172,,1
10,5120,self,0.16178148984909058,0.0880182534456253,-139.17245483398438,,1
11,5632,self,0.13883979618549347,0.06921376287937164,-139.1817169189453,,1
12,6144,self,0.1282983422279358,0.0735456570982933,-139.13473510742188,,1
13,6656,self,0.10673271119594574,0.0792042538523674,-139.11318969726562,,1
14,7168,self,0.14306676387786865,0.08164428174495697,-139.10562133789062,,1
15,7680,league,0.10171136260032654,0.10059596598148346,-139.15367126464844,,1
16,8192,league,0.14745628833770752,0.09379781782627106,-139.22328186035156,,1
17,8704,league,0.11330324411392212,0.061388880014419556,-139.2506103515625,,1
18,9216,self,0.11290331184864044,0.09326760470867157,-139.28944396972656,,1
19,9728,league,0.1394771784543991,0.07950486242771149,-139.2945556640625,,1
20,10240,self,0.12669123709201813,0.08036056160926819,-139.30404663085938,,1
21,10752,league,0.11166028678417206,0.07135084271430969,-139.30621337890625,,1
22,11264,self,0.1405234932899475,0.07410341501235962,-139.3377227783203,,1
23,11776,league,0.11074808239936829,0.10207898914813995,-139.34716796875,,1
24,12288,self,0.13682043552398682,0.07753922045230865,-139.36363220214844,,1
25,12800,league,0.09913122653961182,0.07878291606903076,-139.35897827148438,,1
26,13312,self,0.054793424904346466,0.0849294662475586,-139.32968139648438,,1
27,13824,league,0.10340479761362076,0.07398761063814163,-139.29302978515625,,1
28,14336,self,0.09952947497367859,0.08229519426822662,-139.23934936523438,,1
29,14848,league,0.08713389933109283,0.07101903855800629,-139.21835327148438,,1
30,15360,self,0.09272343665361404,0.06876255571842194,-139.1775360107422,,1
31,15872,league,0.05934509262442589,0.10569554567337036,-139.12916564941406,,1
32,16384,self,0.07432107627391815,0.10110224783420563,-139.08587646484375,,1
33,16896,league,0.08106774091720581,0.08160648494958878,-139.06195068359375,,1
34,17408,league,0.07059143483638763,0.08237791806459427,-139.02108764648438,,1
35,17920,league,0.08213885128498077,0.0809948742389679,-138.96734619140625,,1
36,18432,league,0.07118883728981018,0.0811212956905365,-138.9019012451172,,1
37,18944,league,0.06508125364780426,0.09559820592403412,-138.84271240234375,,1
38,19456,self,0.05960812419652939,0.10450373589992523,-138.82350158691406,,1
39,19968,league,0.06166873872280121,0.064585842192173,-138.8258056640625,,1
40,20480,self,0.056555844843387604,0.0914926528930664,-138.81411743164062,,1
41,20992,self,0.049072083085775375,0.06979614496231079,-138.80319213867188,,1
42,21504,self,0.056816648691892624,0.07393933832645416,-138.776611328125,,1
43,22016,self,0.05611155927181244,0.08963519334793091,-138.76885986328125,,1
44,22528,self,0.06586329638957977,0.08479494601488113,-138.78152465820312,,1
45,23040,league,0.03809754550457001,0.09093136340379715,-138.78921508789062,,1
46,23552,league,0.049394816160202026,0.07532556354999542,-138.80917358398438,,1
47,24064,self,0.056286267936229706,0.09293211251497269,-138.83221435546875,,1
48,24576,league,0.06939999759197235,0.09606607258319855,-138.84930419921875,,1
49,25088,league,0.04549014940857887,0.07730969786643982,-138.88308715820312,,1
50,25600,league,0.06381441652774811,0.08340021967887878,-138.91510009765625,,1
50,25600,eval,0.06381441652774811,0.08340021967887878,-138.91510009765625,1.0,1
51,26112,self,0.04774664714932442,0.09299549460411072,-138.94631958007812,,2
52,26624,self,0.07191408425569534,0.12147213518619537,-138.9612274169922,,2
53,27136,league,0.06056687980890274,0.08435733616352081,-138.98138427734375,,2
54,27648,self,0.06768742948770523,0.07389054447412491,-138.99493408203125,,2
55,28160,league,0.04986344277858734,0.09280383586883545,-139.02426147460938,,2
