generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,win_rate,league_size
1,128,league,0.2963075488805771,0.01061396057048114,-138.3103313446045,9.284312173724174,0.982421875,,1
2,256,self,0.1821729615330696,0.0014276252968556946,-138.88890266418457,1.6518606171011925,0.9296875,,1
3,384,self,0.16473536286503077,0.00030294588486867724,-138.71907424926758,0.7331241779029369,0.873046875,,1
4,512,self,0.180123052559793,0.00014122231914370786,-138.44918632507324,0.7035595253109932,0.861328125,,1
5,640,self,0.2269074209034443,0.00024443489382974803,-138.07550239562988,0.6933306753635406,0.884765625,,1
5,640,eval,0.2269074209034443,0.00024443489382974803,-138.07550239562988,,,0.25,1
6,768,self,0.18079803604632616,0.00034203784707642626,-137.79425430297852,0.5255773961544037,0.8671875,,1
7,896,league,0.2540842304006219,0.0011889920569956303,-137.9338722229004,2.786484755575657,0.94921875,,1
8,1024,self,0.1103628040291369,6.797741207265062e-05,-138.13247299194336,0.43646515533328056,0.81640625,,1
9,1152,league,0.17439199145883322,0.00017328479407296982,-138.0554256439209,0.5937518961727619,0.880859375,,1
10,1280,self,0.17745664063841105,0.00035090908932033926,-137.86383819580078,0.33686655201017857,0.810546875,,1
10,1280,eval,0.17745664063841105,0.00035090908932033926,-137.86383819580078,,,0.25,1
11,1408,league,0.2381401383318007,0.0011297296532575274,-137.0621452331543,0.8624874502420425,0.869140625,,1
12,1536,self,0.13148383796215057,0.00010074006968352478,-136.7934684753418,0.3964932020753622,0.83203125,,1
13,1664,self,0.140619779471308,0.00016123173281812342,-136.32567596435547,0.48867903277277946,0.84375,,1
14,1792,self,0.08402315387502313,0.0006990805741224904,-136.10971450805664,0.27225796319544315,0.798828125,,1
15,1920,self,0.068064343649894,0.0004011941873613978,-136.38901329040527,0.22477053478360176,0.73046875,,1
15,1920,eval,0.068064343649894,0.0004011941873613978,-136.38901329040527,,,0.25,1
16,2048,self,0.0896390900015831,0.00025886834555421956,-136.83731651306152,0.18331835977733135,0.73828125,,1
17,2176,self,0.1274613277055323,0.00018024803830485325,-136.76955604553223,0.27720436453819275,0.78515625,,1
18,2304,self,0.0898996782489121,0.00018106932111550122,-136.65900039672852,0.19425965286791325,0.73046875,,1
19,2432,self,0.09712078026495874,0.00010352102071919944,-136.26437377929688,0.1967568937689066,0.7890625,,1
20,2560,league,0.09835534263402224,0.00011186229767190525,-135.4314422607422,0.23840808682143688,0.796875,,1
20,2560,eval,0.09835534263402224,0.00011186229767190525,-135.4314422607422,,,0.25,1
21,2688,league,0.09642394771799445,0.000640194266452454,-135.00043869018555,0.31689415127038956,0.796875,,1
22,2816,self,0.055035769240930676,0.00010625165850797202,-135.22262954711914,0.15379216894507408,0.7109375,,1
23,2944,league,0.11122486041858792,0.0002513783601898467,-135.82073783874512,0.18723446875810623,0.77734375,,1
24,3072,self,0.04235766315832734,9.773987858352484e-05,-135.95767974853516,0.22125588916242123,0.7578125,,1
25,3200,self,0.09321240428835154,0.00021781245050078724,-136.00221252441406,0.1580221951007843,0.734375,,1
25,3200,eval,0.09321240428835154,0.00021781245050078724,-136.00221252441406,,,0.5,1
26,3328,self,0.08675896842032671,0.00010992231818818254,-136.02846336364746,0.20672233030200005,0.765625,,1
27,3456,self,0.160115466453135,0.0001302172649957356,-136.52049255371094,0.1908617578446865,0.7265625,,1
28,3584,self,0.044987665954977274,0.00012734048596030334,-136.54330253601074,0.1763489730656147,0.75,,1
29,3712,league,0.10487548308447003,0.00022543415070686024,-136.63426971435547,0.14346435479819775,0.701171875,,1
30,3840,self,0.0672821938060224,0.0008897583138605114,-136.64362907409668,0.14348309487104416,0.689453125,,1
30,3840,eval,0.0672821938060224,0.0008897583138605114,-136.64362907409668,,,0.75,1
31,3968,self,0.06087120436131954,0.0008287124837806914,-136.6501235961914,0.13200859259814024,0.658203125,,2
32,4096,league,0.047512071672827005,0.0004264107410563156,-136.38858032226562,0.14818497747182846,0.72265625,,2
33,4224,league,0.08488584216684103,0.00021003094661864452,-136.709716796875,0.11839591711759567,0.673828125,,2
34,4352,self,0.0948324422352016,0.0002754220349743264,-136.70990371704102,0.148471568711102,0.7109375,,2
35,4480,self,0.05141427041962743,0.060112448874861,-136.77684593200684,0.16256080102175474,0.712890625,,2
35,4480,eval,0.05141427041962743,0.060112448874861,-136.77684593200684,,,0.75,2
36,4608,self,0.08957339031621814,0.0006526265606225934,-136.76197814941406,0.15958120208233595,0.689453125,,3
37,4736,self,0.07638490665704012,0.0020076224027434364,-136.4746265411377,0.14386124163866043,0.7265625,,3
38,4864,self,0.05892798979766667,0.00011209938111278461,-136.33140182495117,0.13523954711854458,0.705078125,,3
39,4992,self,0.09096955205313861,0.00016622805651422823,-136.29181098937988,0.1582103967666626,0.70703125,,3
40,5120,self,0.06864157179370522,0.00013398838927969337,-136.53200149536133,0.1341274194419384,0.72265625,,3
40,5120,eval,0.06864157179370522,0.00013398838927969337,-136.53200149536133,,,0.75,3
41,5248,self,0.049885795917361975,0.0008567430704715662,-136.82685470581055,0.12022378761321306,0.671875,,4
42,5376,self,0.08339424734003842,0.00019625635832198896,-136.93141746520996,0.1250952323898673,0.6640625,,4
43,5504,self,0.0500482264906168,9.177015408567968e-05,-136.98527908325195,0.1525825709104538,0.71875,,4
44,5632,league,0.0478203110396862,5.902958673686953e-05,-137.11059761047363,0.131294053979218,0.703125,,4
45,5760,self,0.0694596879184246,5.5083227380237076e-05,-137.25461196899414,0.10215291194617748,0.67578125,,4
