generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,win_rate,league_size
1,128,self,0.4100360870361328,0.0012915460392832756,-138.2465057373047,1.0060094594955444,0.921875,1,27.38878631591797,-35.345863342285156,146.20358276367188,,1
2,256,self,0.2316826730966568,0.00014378599007613957,-138.45545959472656,0.7269778251647949,0.875,1,27.658100128173828,-35.345863342285156,146.1432342529297,,1
3,384,self,0.2998165786266327,0.0001096519990824163,-138.12823486328125,0.6010686159133911,0.859375,1,27.620405197143555,-35.345863342285156,145.8537139892578,,1
4,512,self,0.19680535793304443,0.00017960598052013665,-137.68081665039062,0.4279096722602844,0.890625,1,27.237991333007812,-35.345863342285156,145.7886962890625,,1
5,640,self,0.17788013815879822,0.0001279600546695292,-137.50929260253906,0.4329315423965454,0.84375,1,27.0570068359375,-35.345863342285156,145.7981414794922,,1
5,640,eval,0.17788013815879822,0.0001279600546695292,-137.50929260253906,,,,,,,0.25,1
6,768,league,0.43334513902664185,0.00010752033267635852,-137.6248016357422,0.7220147848129272,0.828125,1,27.059011459350586,-35.345863342285156,145.91165161132812,,1
7,896,league,0.16822437942028046,0.00016036996385082603,-137.93096923828125,0.46288520097732544,0.859375,1,27.264694213867188,-35.345863342285156,146.01214599609375,,1
8,1024,self,0.07521180063486099,0.0005036994116380811,-138.19473266601562,0.1697460114955902,0.703125,1,27.494163513183594,-35.345863342285156,146.04644775390625,,1
9,1152,league,0.16973130404949188,0.00053722586017102,-138.2569122314453,0.37181344628334045,0.828125,1,27.611648559570312,-35.345863342285156,145.99111938476562,,1
10,1280,self,0.171699658036232,0.0006149979890324175,-138.24649047851562,0.18144971132278442,0.765625,1,27.631439208984375,-35.345863342285156,145.96092224121094,,1
10,1280,eval,0.171699658036232,0.0006149979890324175,-138.24649047851562,,,,,,,0.5,1
11,1408,self,0.16881202161312103,0.0006015559774823487,-138.260009765625,0.26915282011032104,0.796875,1,27.66607093811035,-35.345863342285156,145.93978881835938,,1
12,1536,self,0.03587038069963455,0.00011294790601823479,-138.31936645507812,0.19791179895401,0.734375,1,27.71419906616211,-35.345863342285156,145.95101928710938,,1
13,1664,self,0.050088316202163696,0.0003987836535088718,-138.21282958984375,0.2010062336921692,0.796875,1,27.680795669555664,-35.345863342285156,145.8778839111328,,1
14,1792,self,0.2638516426086426,0.0010626846924424171,-138.0492401123047,0.19916591048240662,0.765625,1,27.5996150970459,-35.345863342285156,145.79547119140625,,1
15,1920,self,0.08426830917596817,0.0004753198882099241,-137.8223419189453,0.12716889381408691,0.671875,1,27.481502532958984,-35.345863342285156,145.68670654296875,,1
15,1920,eval,0.08426830917596817,0.0004753198882099241,-137.8223419189453,,,,,,,0.75,1
16,2048,self,0.16420647501945496,7.606516010127962e-05,-137.54640197753906,0.20369404554367065,0.734375,1,27.293066024780273,-35.345863342285156,145.59921264648438,,2
17,2176,self,0.021630968898534775,0.0001742136082611978,-137.26141357421875,0.10405264794826508,0.703125,1,27.064712524414062,-35.345863342285156,145.54257202148438,,2
18,2304,self,0.1542292982339859,9.263440733775496e-05,-137.10565185546875,0.16111375391483307,0.796875,1,26.922199249267578,-35.345863342285156,145.52931213378906,,2
19,2432,self,0.02194371074438095,8.782491204328835e-05,-136.95260620117188,0.1301073580980301,0.796875,1,26.803054809570312,-35.345863342285156,145.49542236328125,,2
20,2560,self,-0.13412007689476013,0.00014144956367090344,-136.87594604492188,0.10908938944339752,0.71875,1,26.717342376708984,-35.345863342285156,145.50445556640625,,2
20,2560,eval,-0.13412007689476013,0.00014144956367090344,-136.87594604492188,,,,,,,1.0,2
21,2688,self,-0.06292008608579636,7.75017833802849e-05,-136.80958557128906,0.09561900794506073,0.71875,1,26.64052963256836,-35.345863342285156,145.51492309570312,,3
22,2816,league,0.02274481952190399,6.344907160382718e-05,-136.86135864257812,0.1456587314605713,0.734375,1,26.655662536621094,-35.345863342285156,145.55157470703125,,3
23,2944,self,0.01689774915575981,8.149398490786552e-05,-136.933349609375,0.1460023671388626,0.734375,1,26.704452514648438,-35.345863342285156,145.57476806640625,,3
24,3072,self,0.08819855749607086,0.00011569075286388397,-136.96632385253906,0.15816208720207214,0.703125,1,26.737621307373047,-35.345863342285156,145.57455444335938,,3
25,3200,self,0.0013620872050523758,0.0003042930329684168,-137.022216796875,0.14610731601715088,0.75,1,26.788246154785156,-35.345863342285156,145.579833984375,,3
25,3200,eval,0.0013620872050523758,0.0003042930329684168,-137.022216796875,,,,,,,0.5,3
26,3328,self,0.10904093086719513,0.0001879777410067618,-137.05453491210938,0.08931666612625122,0.765625,1,26.840106964111328,-35.345863342285156,145.56027221679688,,3
27,3456,self,-0.03739785775542259,6.236156332306564e-05,-137.076171875,0.1099223792552948,0.671875,1,26.924819946289062,-35.345863342285156,145.49722290039062,,3
28,3584,self,0.17079882323741913,7.886810635682195e-05,-137.1653594970703,0.1018049418926239,0.625,1,27.042293548583984,-35.345863342285156,145.46893310546875,,3
29,3712,self,0.19215825200080872,0.00012361921835690737,-137.2222900390625,0.1365419328212738,0.6875,1,27.168310165405273,-35.345863342285156,145.39984130859375,,3
30,3840,self,0.1817793995141983,0.00016866203804966062,-137.201171875,0.16356632113456726,0.8125,1,27.19597816467285,-35.345863342285156,145.35107421875,,3
30,3840,eval,0.1817793995141983,0.00016866203804966062,-137.201171875,,,,,,,0.5,3
31,3968,self,0.11951903998851776,0.00014565957826562226,-137.13694763183594,0.0851936787366867,0.65625,1,27.201202392578125,-35.345863342285156,145.2816162109375,,3
32,4096,self,0.08823645859956741,5.083432188257575e-05,-137.11175537109375,0.1218479573726654,0.734375,1,27.254091262817383,-35.345863342285156,145.2035369873047,,3
33,4224,self,0.06496144831180573,8.588621858507395e-05,-137.10443115234375,0.15317563712596893,0.640625,1,27.307289123535156,-35.345863342285156,145.14300537109375,,3
34,4352,self,-0.006506212055683136,0.00020494192722253501,-137.05450439453125,0.11531627178192139,0.671875,1,27.327659606933594,-35.345863342285156,145.07272338867188,,3
35,4480,self,-0.07209360599517822,0.00027286901604384184,-137.06411743164062,0.08240460604429245,0.671875,1,27.397050857543945,-35.345863342285156,145.012939453125,,3
35,4480,eval,-0.07209360599517822,0.00027286901604384184,-137.06411743164062,,,,,,,0.25,3
36,4608,self,0.0941121056675911,5.898475501453504e-05,-137.05587768554688,0.11048485338687897,0.625,1,27.45975112915039,-35.345863342285156,144.9419708251953,,3
37,4736,self,-0.11413516104221344,4.0471826650900766e-05,-137.03964233398438,0.1046716645359993,0.71875,1,27.509906768798828,-35.345863342285156,144.87559509277344,,3
38,4864,self,0.1718546450138092,0.0001239689881913364,-137.02182006835938,0.12241988629102707,0.625,1,27.53216552734375,-35.345863342285156,144.83551025390625,,3
39,4992,league,0.1407983899116516,6.693479372188449e-05,-137.05506896972656,0.14104151725769043,0.65625,1,27.57842254638672,-35.345863342285156,144.82249450683594,,3
40,5120,self,0.034129031002521515,0.00020862756355199963,-137.1510009765625,0.14204052090644836,0.78125,1,27.61646270751953,-35.345863342285156,144.88040161132812,,3
