generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,win_rate,league_size
1,128,self,2.6325159072875977,0.0009418748668394983,-138.58746337890625,1.6480212211608887,0.8828125,1,27.710674285888672,-35.345863342285156,146.22264099121094,-0.0007046875000000003,0.0,0.0,,1
2,256,self,0.2527780532836914,0.0036986488848924637,-138.740234375,0.9797089099884033,0.8984375,1,27.708965301513672,-35.345863342285156,146.37713623046875,-0.0026890624999999996,-0.0001953125,0.0,,1
3,384,self,0.22245392203330994,0.22231504321098328,-138.73318481445312,0.5950425267219543,0.8828125,1,27.642536163330078,-35.345863342285156,146.4365234375,-0.0229375,0.0037109375,0.0,,1
4,512,self,0.3018513023853302,0.001104691531509161,-138.60369873046875,0.6306208968162537,0.8984375,1,27.51935577392578,-35.345863342285156,146.43020629882812,-0.0006625000000000004,0.0,0.0,,1
5,640,self,0.21416953206062317,0.19886809587478638,-138.53970336914062,0.6006530523300171,0.8984375,1,27.447834014892578,-35.345863342285156,146.43771362304688,-0.02002187500000001,0.001757812500000002,0.0,,1
5,640,eval,0.21416953206062317,0.19886809587478638,-138.53970336914062,,,,,,,,,,1.0,1
6,768,self,0.24235692620277405,0.039113521575927734,-138.33387756347656,0.5895265340805054,0.8515625,1,27.259990692138672,-35.345863342285156,146.41973876953125,0.002706250000000001,0.004296875,0.0,,2
7,896,self,0.21155688166618347,0.05893643945455551,-138.25863647460938,0.3697347044944763,0.875,1,27.189594268798828,-35.345863342285156,146.41488647460938,-0.010678125000000004,-5.963111948670274e-19,0.0,,2
8,1024,self,0.16150477528572083,0.14695501327514648,-138.10775756835938,0.39844509959220886,0.796875,1,27.03929901123047,-35.345863342285156,146.41433715820312,-0.015224999999999999,0.0007812499999999998,0.0,,2
9,1152,self,0.20674258470535278,0.07419878989458084,-137.935302734375,0.43086734414100647,0.765625,1,26.860675811767578,-35.345863342285156,146.42050170898438,-0.002660937500000003,0.0037109374999999994,0.0,,2
10,1280,self,0.14991877973079681,0.8007829785346985,-137.80029296875,0.4621930718421936,0.8203125,1,26.726938247680664,-35.345863342285156,146.41921997070312,0.020232812499999992,0.0236328125,0.0,,2
10,1280,eval,0.14991877973079681,0.8007829785346985,-137.80029296875,,,,,,,,,,1.0,2
11,1408,self,0.21203090250492096,0.10200564563274384,-137.6649169921875,0.4131028652191162,0.8828125,1,26.586668014526367,-35.345863342285156,146.4241180419922,-0.016928125000000002,-0.00019531249999999996,0.0,,3
12,1536,self,0.20927268266677856,0.0947885662317276,-137.49822998046875,0.4130818247795105,0.8125,1,26.42994499206543,-35.345863342285156,146.4141387939453,0.006518750000000004,0.007617187500000001,0.0,,3
13,1664,self,0.16406908631324768,0.22366276383399963,-137.44970703125,0.44501620531082153,0.8046875,1,26.386842727661133,-35.345863342285156,146.4087371826172,-0.0220359375,0.0031250000000000015,0.0,,3
14,1792,self,0.2749619483947754,0.005782298278063536,-137.43331909179688,0.403186172246933,0.859375,1,26.386077880859375,-35.345863342285156,146.39309692382812,0.000348437500000001,0.000390625,0.0,,3
15,1920,self,0.15565824508666992,0.11868342757225037,-137.47207641601562,0.3998734951019287,0.8046875,1,26.431129455566406,-35.345863342285156,146.38681030273438,0.0064984375,0.008984375,0.0,,3
15,1920,eval,0.15565824508666992,0.11868342757225037,-137.47207641601562,,,,,,,,,,0.5,3
16,2048,league,0.15821772813796997,0.05162963271141052,-137.57374572753906,0.48825258016586304,0.8359375,1,26.544754028320312,-35.345863342285156,146.37486267089844,-0.010314062500000004,0.003515625,0.0,,3
17,2176,self,0.17937256395816803,0.0018105292692780495,-137.72564697265625,0.3913305997848511,0.8203125,1,26.71051025390625,-35.345863342285156,146.3610076904297,-0.0026640625000000024,0.000390625,0.0,,3
18,2304,self,0.21343393623828888,0.2312074899673462,-137.84645080566406,0.44803959131240845,0.8828125,1,26.84067153930664,-35.345863342285156,146.35165405273438,0.0075,0.013671875,0.0,,3
