generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
1,128,self,0.29774411022663116,0.08629626035690308,-138.28264999389648,4.066833317279816,0.947265625,4,27.60625123977661,-35.345863342285156,146.0222625732422,0.08113744482398033,3.7083795964717865,0.2916265204548836,0.59765625,0.951171875,0.810546875,0.00503125,0.011132812500000006,0.0,3.1015625,1.6328125,0.5264483627204031,0.96875,0.0,0.5,0.0390625,0.0,0.46875,0.046875,0.3984375,0.0625,0.15625,0.0078125,0.0,,1
2,256,self,0.30479735136032104,0.9202965497970581,-138.49391555786133,1.324270248413086,0.90625,4,27.705785274505615,-35.345863342285156,146.13399505615234,0.043248701840639114,1.2021338269114494,0.11811210215091705,0.482421875,0.912109375,0.6796875,0.029085937499999995,0.029296874999999997,0.0,5.046875,0.9453125,0.1873065015479876,3.8515625,0.0,0.25,0.046875,0.0,0.4921875,0.0390625,0.3359375,0.015625,0.203125,0.03125,0.0,,1
3,384,self,0.22310235351324081,0.16275974921882153,-138.52275466918945,0.6172285974025726,0.865234375,4,27.711599826812744,-35.345863342285156,146.1570167541504,0.027060893829911947,0.4544638395309448,0.09452880546450615,0.35546875,0.87109375,0.6484375,0.0172515625,0.013281250000000001,0.0,3.21875,1.2734375,0.39563106796116504,1.6328125,0.0,0.3125,0.046875,0.0,0.46875,0.109375,0.2265625,0.1015625,0.1640625,0.03125,0.0,,1
4,512,league,0.20180830731987953,0.12325575202703476,-138.46720504760742,0.42725781351327896,0.8359375,4,27.71065330505371,-35.345863342285156,146.10240936279297,0.026052876841276884,0.37725141644477844,0.08469950966536999,0.392578125,0.849609375,0.625,0.011851562500000003,0.013281250000000001,0.0,2.4921875,1.1953125,0.47962382445141066,1.125,0.0,0.171875,0.0234375,0.0,0.375,0.0234375,0.3125,0.0390625,0.1015625,0.015625,0.0,,1
5,640,self,0.227194145321846,0.13569705933332443,-138.387451171875,0.4530111029744148,0.859375,4,27.702908992767334,-35.345863342285156,146.03041076660156,0.023046608548611403,0.34873513877391815,0.06664152909070253,0.349609375,0.84765625,0.58984375,0.012157812500000004,0.015625000000000007,0.0,3.921875,2.0078125,0.5119521912350598,1.4296875,0.0,0.484375,0.0703125,0.0078125,0.4296875,0.0625,0.6796875,0.1171875,0.2265625,0.03125,0.0,,1
5,640,eval,0.227194145321846,0.13569705933332443,-138.387451171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
6,768,self,0.2546282932162285,0.08779339864850044,-138.61256408691406,0.5267027914524078,0.837890625,4,27.706663131713867,-35.345863342285156,146.25176239013672,0.028207493480294943,0.3932729810476303,0.07265886105597019,0.39453125,0.822265625,0.568359375,0.0059312500000000025,0.013281250000000001,0.0,1.5234375,0.6640625,0.4358974358974359,0.65625,0.0,0.203125,0.0078125,0.0,0.3671875,0.0,0.0859375,0.0078125,0.0703125,0.0,0.0,,2
7,896,league,0.26911068707704544,0.13726722449064255,-138.80703735351562,0.46739938855171204,0.86328125,4,27.69931173324585,-35.345863342285156,146.45358276367188,0.030332863796502352,0.3858668804168701,0.07443749252706766,0.37890625,0.833984375,0.6171875,0.008748437499999998,0.018359374999999997,0.0,2.703125,0.8046875,0.2976878612716763,1.75,0.0,0.1484375,0.0234375,0.0078125,0.328125,0.0390625,0.2265625,0.0234375,0.125,0.03125,0.0,,2
8,1024,self,0.1293711494654417,0.12170399352908134,-138.78152465820312,0.4167807549238205,0.810546875,4,27.60037851333618,-35.345863342285156,146.52701568603516,0.02190033020451665,0.3389580324292183,0.07322718389332294,0.318359375,0.8359375,0.625,-0.008531249999999997,0.0037109375,0.0,1.125,0.875,0.7777777777777778,0.078125,0.0,0.171875,0.0078125,0.0,0.203125,0.0234375,0.1640625,0.0,0.03125,0.0,0.0,,2
9,1152,self,0.17675451934337616,0.2050042673945427,-138.68022537231445,0.35569388419389725,0.81640625,4,27.525254249572754,-35.345863342285156,146.5008316040039,0.016831207554787397,0.2581232637166977,0.06102784629911184,0.248046875,0.7890625,0.55859375,0.0114578125,0.015234375,0.0,1.4140625,0.8984375,0.6353591160220995,0.2734375,0.0,0.2421875,0.0,0.0,0.28125,0.015625,0.3203125,0.015625,0.09375,0.03125,0.0,,2
