generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
1,128,self,0.3995652347803116,0.03878118796274066,-138.98437118530273,1.573295995593071,0.919921875,4,27.422080993652344,-35.345863342285156,146.90815353393555,0.10420756135135889,1.1211620271205902,0.25941744446754456,0.625,0.912109375,0.759765625,0.00012187500000000117,0.009765625000000003,0.0,1.7890625,0.359375,0.20087336244541484,0.953125,0.0,0.1953125,0.28125,0.0,0.0,0.203125,0.0078125,0.015625,0.0,0.09375,0.0,0.0,,1
2,256,self,0.3645904064178467,0.0013900778722018003,-138.9053192138672,1.1341218054294586,0.9296875,4,27.526516437530518,-35.345863342285156,146.72467041015625,0.03598877228796482,0.954129621386528,0.12153327092528343,0.44140625,0.888671875,0.705078125,7.187500000000116e-05,0.000390625,0.0,0.734375,0.2890625,0.39361702127659576,0.0390625,0.0,0.0859375,0.3203125,0.0,0.0,0.140625,0.0234375,0.0,0.0,0.0078125,0.0,0.0,,1
3,384,self,0.17282690666615963,0.008927732240408659,-138.70928573608398,0.9891785085201263,0.91015625,4,27.43340492248535,-35.345863342285156,146.6217384338379,0.042968291323632,0.849696084856987,0.1166076585650444,0.4921875,0.876953125,0.65234375,0.00039531250000000113,0.0023437500000000003,0.0,0.703125,0.5234375,0.7444444444444445,0.0078125,0.0,0.03125,0.140625,0.0,0.0,0.296875,0.0390625,0.0078125,0.0,0.015625,0.0,0.0,,1
4,512,self,0.2283215932548046,0.024790472351014614,-138.29085540771484,0.8481364697217941,0.900390625,4,27.088926315307617,-35.345863342285156,146.54779434204102,0.036089926958084106,0.7835676968097687,0.08290942385792732,0.400390625,0.849609375,0.6328125,0.0029734374999999982,0.0066406250000000016,0.0,1.4140625,0.625,0.4419889502762431,0.1796875,0.0,0.2109375,0.3984375,0.015625,0.0,0.40625,0.0,0.0078125,0.0,0.0703125,0.0,0.0,,1
5,640,self,0.16109043173491955,0.004876222228631377,-137.8808479309082,0.5569638907909393,0.880859375,4,26.80947732925415,-35.345863342285156,146.417236328125,0.01567362155765295,0.47982651740312576,0.08623802475631237,0.26171875,0.8515625,0.609375,-0.0015390625,0.0,0.0,0.375,0.21875,0.5833333333333334,0.0078125,0.0,0.1015625,0.046875,0.0078125,0.0,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,,1
5,640,eval,0.16109043173491955,0.004876222228631377,-137.8808479309082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
6,768,league,0.2517310604453087,0.007415068568661809,-137.8025779724121,1.6668407917022705,0.94140625,4,26.82664155960083,-35.345863342285156,146.32179641723633,0.014713209588080645,1.5335814654827118,0.08529452234506607,0.2265625,0.94921875,0.599609375,0.0010187499999999997,0.0015625,0.0,0.4453125,0.34375,0.7719298245614035,0.0078125,0.0,0.0546875,0.0390625,0.0078125,0.0,0.2734375,0.015625,0.015625,0.0,0.0078125,0.0,0.0,,2
7,896,league,0.21054209396243095,0.042486815713346004,-137.68569946289062,1.2527600824832916,0.912109375,4,26.87870502471924,-35.345863342285156,146.1528549194336,0.014058568514883518,1.0222048461437225,0.0977358166128397,0.2265625,0.908203125,0.609375,0.0006609375000000001,0.00625,0.0,0.609375,0.3203125,0.5256410256410257,0.046875,0.0,0.1015625,0.140625,0.0,0.0,0.2109375,0.0,0.0390625,0.0,0.03125,0.0,0.0,,2
8,1024,self,0.13628272712230682,0.010695172473788261,-137.61260223388672,0.44831664115190506,0.8828125,4,27.008663654327393,-35.345863342285156,145.94979858398438,0.01435984787531197,0.3821500688791275,0.07553535886108875,0.232421875,0.845703125,0.6171875,-0.0031390625,0.0,0.0,0.453125,0.2109375,0.46551724137931033,0.0078125,0.0,0.125,0.109375,0.0,0.0,0.1328125,0.0,0.0234375,0.0,0.0,0.0,0.0,,2
9,1152,self,0.09493044018745422,0.05662251356989145,-137.6844024658203,0.3479676619172096,0.818359375,4,27.15982151031494,-35.345863342285156,145.8704376220703,0.012987293768674135,0.296702541410923,0.059702117927372456,0.208984375,0.80859375,0.591796875,-0.009095312500000001,0.007812500000000002,0.0,1.6015625,0.6875,0.4292682926829268,0.1875,0.0,0.3046875,0.421875,0.0078125,0.0,0.296875,0.0546875,0.03125,0.0,0.0625,0.0234375,0.0,,2
